centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
barnet_london,Barnet London,,Barnet Gate Lane / Mays Lane,Barnet London driving test centre UK,Barnet Gate Lane / Mays Lane Barnet London UK,Barnet London test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
barnstaple,Barnstaple,,Westaway Hill / Old School Rd,Barnstaple driving test centre UK,Westaway Hill / Old School Rd Barnstaple UK,Barnstaple test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
barrow_in_furness,Barrow In Furness,,James Freel Close,Barrow In Furness driving test centre UK,James Freel Close Barrow In Furness UK,Barrow In Furness test centre UK,medium,"address_incomplete,no_postcode_found",54.1194266,-3.2426945,resolved_secondary
basingstoke,Basingstoke,,Hatch Warren Way,Basingstoke driving test centre UK,Hatch Warren Way Basingstoke UK,Basingstoke test centre UK,medium,"address_incomplete,no_postcode_found",51.2452589,-1.1124597,resolved_primary
bedford,Bedford,,Barkers Lane / Goldington Rd,Bedford driving test centre UK,Barkers Lane / Goldington Rd Bedford UK,Bedford test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
belvedere_london,Belvedere London,,Harrow Manor Way,Belvedere London driving test centre UK,Harrow Manor Way Belvedere London UK,Belvedere London test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
birmingham_garretts_green,Birmingham Garretts Green,,Garretts Green Lane,Birmingham Garretts Green driving test centre UK,Garretts Green Lane Birmingham Garretts Green UK,Birmingham Garretts Green test centre UK,medium,"address_incomplete,no_postcode_found",52.4734898,-1.7799814,resolved_secondary
birmingham_kings_heath,Birmingham Kings Heath,,Highters Heath Lane,Birmingham Kings Heath driving test centre UK,Highters Heath Lane Birmingham Kings Heath UK,Birmingham Kings Heath test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
birmingham_kingstanding,Birmingham Kingstanding,,Doe Bank Lane,Birmingham Kingstanding driving test centre UK,Doe Bank Lane Birmingham Kingstanding UK,Birmingham Kingstanding test centre UK,medium,"address_incomplete,no_postcode_found",52.5441569,-1.8905068,resolved_primary
birmingham_shirley,Birmingham Shirley,,Dog Kennel Lane,Birmingham Shirley driving test centre UK,Dog Kennel Lane Birmingham Shirley UK,Birmingham Shirley test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
